Structure,File,Line,Text
CPUID,common/data_structures/td_control_structures.h,363,"bool_t xfd_supported;              // virtual CPUID(0xD, 0x1).EAX[4]"
CPUID,common/data_structures/td_control_structures.h,364,"bool_t ddpd_supported;             // virtual CPUID(0x7, 0x2).EDX[3]"
CPUID,common/data_structures/td_control_structures.h,365,"bool_t la57_supported;             // virtual CPUID(0x7, 0x0).ECX[16]"
CPUID,common/data_structures/td_control_structures.h,366,"bool_t fred_supported;             // virtual CPUID(0x7, 0x1).EAX[18] & [17] FRED & LKGS"
CPUID,common/data_structures/td_control_structures.h,367,"bool_t perfmon_ext_leaf_supported; // virtual CPUID(0x7, 0x1).EAX[8]"
CPUID,common/data_structures/td_control_structures.h,368,"bool_t umsr_supported;             // virtual CPUID(0x7, 0x1).EAX[15]"
CPUID,common/data_structures/td_control_structures.h,369,"bool_t arch_pebs_supported;        // virtual CPUID(0x23, 0x0).EAX[5]"
CPUID,common/data_structures/td_control_structures.h,370,bool_t kl_no_backup_supported;     // virtual CPUID(0x19).ECX[0]
CPUID,common/data_structures/td_control_structures.h,371,bool_t kl_random_supported;        // virtual CPUID(0x19).ECX[1]
CPUID,common/data_structures/td_control_structures.h,372,"bool_t avx10_512vl_supported;      // virtual CPUID(0x24, 0x0).EBX[18] is not 0"
CPUID,common/data_structures/td_control_structures.h,373,"bool_t avx10_supported;            // virtual CPUID(0x7, 0x1).EDX[19]"
CPUID,common/data_structures/td_control_structures.h,375,"bool_t core_capabilities_not_supported; // !virtual CPUID(7, 0).EDX[30] (support IA32_CORE_CAPABILITIES)"
CPUID,common/data_structures/td_control_structures.h,376,bool_t est_supported;                   // virtual CPUID(1).ECX[7] (Enhanced Intel SpeedStep technology)
CPUID,common/data_structures/td_control_structures.h,377,bool_t mce_not_supported;               // !virtual CPUID(1).EDX[7] (Machine Check Exception)
CPUID,common/data_structures/td_control_structures.h,378,bool_t mca_not_supported;               // !virtual CPUID(1).EDX[14] (Machine Check Architecture)
CPUID,common/data_structures/td_control_structures.h,379,bool_t mtrr_not_supported;              // !virtual CPUID(1).EDX[12] (Memory Type Range Registers)
CPUID,common/data_structures/td_control_structures.h,380,"bool_t rdt_a_supported;                 // virtual CPUID(7, 0).EBX[15] (RDT-A)"
CPUID,common/data_structures/td_control_structures.h,381,"bool_t rdt_m_supported;                 // virtual CPUID(7, 0).EBX[12] (RDT-M)"
CPUID,common/data_structures/td_control_structures.h,382,bool_t acpi_supported;                  // virtual CPUID(1).EDX[22] (Thermal Monitor and Software Controlled Clock Facilities)
CPUID,common/data_structures/td_control_structures.h,383,bool_t tm2_supported;                   // virtual CPUID(1).ECX[8] (TM2)
CPUID,common/data_structures/td_control_structures.h,384,bool_t xtpr_update_supported;           // virtual CPUID(1).ECX[14](xTPR Update Control)
CPUID,common/data_structures/td_control_structures.h,423,uint64_t virt_cpuid2        : 1; // Bit 2:  Controls the virtualization of CPUID(2)
CPUID,common/data_structures/td_control_structures.h,787,* Values returned by the matching configurable CPUID leaf and sub-leaf.
CPUID,common/data_structures/td_control_structures.h,848,// Get the last CPUID base leaf while handling the case of update from a previous version where this field was reserved-0.
CPUID,common/data_structures/td_control_structures.h,859,// Get the last CPUID ext leaf while handling the case of update from a previous version where this field was reserved-0.
CPUID,common/data_structures/loader_data.h,52,fms_info_t socket_cpuid_table[MAX_PKGS]; /**< List of CPUID.leaf_1.EAX values from all sockets */
CPUID,common/data_structures/tdx_tdvps.h,396,"* @brief Bit 0: When set, the Intel TDX module injects #VE on guest TD execution of CPUID in CPL = 0."
CPUID,common/data_structures/tdx_tdvps.h,397,"*        Bit 1: When set, the Intel TDX module injects #VE on guest TD execution of CPUID in CPL > 0."
CPUID,common/data_structures/tdx_global_data.h,363,"// Values of CPUID, sampled @ TDHSYSINIT and verified @ TDHSYSINITLP"
CPUID,common/data_structures/tdx_global_data.h,365,"uint32_t cpuid_last_base_leaf;      // Calculated on TDH.SYS.INIT, based on CPUID(0).EAX (may be higher)"
CPUID,common/data_structures/tdx_global_data.h,366,"uint32_t cpuid_last_extended_leaf;  // Calculated on TDH.SYS.INIT, based on CPUID(0x80000000).EAX"
CPUID,common/accessors/ia32_accessors.h,50,* @brief Call CPUID instruction
CPUID,common/accessors/ia32_accessors.h,61,"_ASM_VOLATILE_ (""cpuid;""              // CPUID"
CPUID,common/x86_defs/x86_defs.h,841,* CPUID definitions
CPUID,common/x86_defs/x86_defs.h,895,#define CPUID_MIN_LAST_CPU_BASE_LEAF         0x1F        // Minimal last value of Intel CPUID range supported by the CPU
CPUID,common/x86_defs/x86_defs.h,896,#define CPUID_LAST_BASE_LEAF                 0x23        // Last value of virtualized Intel CPUID range
CPUID,common/x86_defs/x86_defs.h,897,#define CPUID_FIRST_EXTENDED_LEAF            0x80000000  // AMD CPUID range first leaf value
CPUID,common/x86_defs/x86_defs.h,898,#define CPUID_LAST_EXTENDED_LEAF             0x80000008  // AMD CPUID range last leaf value
CPUID,common/x86_defs/x86_defs.h,900,// Bitmap of CPUID leaves whose virtual value is fixed-0
CPUID,common/x86_defs/x86_defs.h,911,/* Check if a CPUID leaf is fixed-0
CPUID,common/helpers/virt_msr_helpers.c,198,"// The following assertion ensures that virtual CPUID values are imported before virtual IA32_ARCH_CAPABILITIES, thus"
CPUID,common/helpers/cpuid_fms.c,25,* @brief Allowed CPUID definitions
CPUID,common/helpers/helpers.c,1962,"// Immutable CPUID flags were upated before, during immutable state import. Now update the mutable CPUID flags."
CPUID,common/helpers/helpers.c,2072,// Check the imported CPUID(0x1F) values and set CPUID(0xB) values
CPUID,common/helpers/helpers.c,2923,// Update mutable CPUID flags based on CPUID(1)
CPUID,common/helpers/helpers.c,2944,"// Update mutable CPUID flags based on CPUID(7, 0)"
CPUID,common/helpers/helpers.c,3002,// A value of -1 indicates that this CPUID leaf with sub-leaf 0 is not supported
CPUID,common/helpers/helpers.c,3048,// Scan the virtual CPUID(0x1F) sub-leaves
CPUID,common/helpers/helpers.c,3056,"// Null configuration case:  if all CPUID(0x1F) sub-leaves are configured as all-0, use the h/w values."
CPUID,common/helpers/helpers.c,3085,"// We continue even if we use the h/w values, in order to set CPUID(0xB)"
CPUID,common/helpers/helpers.c,3111,"// CPUID(0x0B, 0) is the SMT level. It is identical to CPUID(0x1F) at the SMT level."
CPUID,common/helpers/helpers.c,3127,"// Make sure we had at least one valid sub-leaf, otherwise CPUID leaf 1F is not configured properly."
CPUID,common/helpers/helpers.c,3141,// Generate virtual CPUID(0xB) values
CPUID,common/helpers/helpers.c,3143,// Compute the CPUID(0x0B) core level.  EAX and EBX values are of the last valid level of CPUID(0x1F)
CPUID,common/helpers/helpers.c,3153,"// Fill the next CPUID(0x0B) levels up to 2 as null, indicating last sub-leaf"
CPUID,common/helpers/cpuid_fms.h,25,* @brief Allowed CPUID definitions
CPUID,common/helpers/helpers.h,76,"// Calculate CPUID leaf 0xD sub-leaf 0x0 ECX value, the  maximum size of the"
CPUID,common/helpers/helpers.h,78,"// setting XCR0 to the user bits in XFAM, then executing CPUID.  This returns"
CPUID,common/helpers/helpers.h,1522,"* @param native_tsc_freq    - Calculated from CPUID(0x15), in 1Hz units"
CPUID,common/helpers/helpers.h,2335,* @brief Check the virtual CPUID(0x1F) configuration and set virtual CPUID(0xB)
CPUID,common/helpers/helpers.h,2338,"* @param allow_null - Allow all-0 configuration of CPUID(0x1F), indicating usage of h/w values"
CPUID,common/metadata_handlers/metadata_td.c,95,// Loop on all 4 CPUID values
CPUID,common/metadata_handlers/metadata_td.c,110,"// When a CPUID leaf/sub-leaf is imported during immutable TD state import, check compatibility of CPUID"
CPUID,common/metadata_handlers/metadata_td.c,134,// CPUID leaf/sub-leaf is in the lookup tables.  Loop on all 4 CPUID values and do the generic checks.
CPUID,common/metadata_handlers/metadata_td.c,152,// configurable (CONFIG_DIRECT or ALLOW_DIRECT) CPUID leaf/sub-leaf
CPUID,common/metadata_handlers/metadata_td.c,166,// Special CPUID Leaves/Sub-Leaves Handling
CPUID,common/metadata_handlers/metadata_td.c,176,// CPUID(0).EAX is the last base leaf.  Check that it fits into the lookup tables
CPUID,common/metadata_handlers/metadata_td.c,186,//  CPUID(1).EAX is the virtual Family/Model/Stepping configuration
CPUID,common/metadata_handlers/metadata_td.c,212,"// CPUID(5) is virtualized as ALLOW_CPUID, based on CPUID(1).ECX(3) (MONITOR)"
CPUID,common/metadata_handlers/metadata_td.c,214,// - Virtual CPUID(5) bits that are known by the TDX module to be reserved are checked to be 0.
CPUID,common/metadata_handlers/metadata_td.c,216,// - Virtual CPUID(5) bits that are not known by the TDX module to be reserved are checked for exact
CPUID,common/metadata_handlers/metadata_td.c,217,//   match with the native CPUID(5) values.
CPUID,common/metadata_handlers/metadata_td.c,219,"// CPUID(5) will always appear in the lookup table, since we sample its native values on TDH.SYS.INIT"
CPUID,common/metadata_handlers/metadata_td.c,224,"// MONITOR/MWAIT is supported, CPUID(5) is expected to be"
CPUID,common/metadata_handlers/metadata_td.c,237,"// MONITOR/MWAIT is not supported, CPUID(5) is expected to be all-0"
CPUID,common/metadata_handlers/metadata_td.c,247,"// If an XFAM bit is 0, the applicable CPUID values bits are cleared."
CPUID,common/metadata_handlers/metadata_td.c,260,// Both CPUID bits that enumerate TSX must have the same virtual value
CPUID,common/metadata_handlers/metadata_td.c,377,// The following check relies on TSC_FREQUENCY to be imported before CPUID configuration.
CPUID,common/metadata_handlers/metadata_td.c,432,// CPUID(0).EAX is the last base leaf.  Check that it fits into the lookup tables
CPUID,common/metadata_handlers/metadata_td.c,478,// CPUID leaf/subleaf is in the lookup tables.  For a leaf/subleaf that is in the CPUID_FIXED0_BITMAP
CPUID,common/metadata_handlers/metadata_td.c,537,// Check the CPUID field validity
CPUID,common/metadata_handlers/metadata_td.c,632,"// On read from host VMM or MigTD, check first if the CPUID leaf is fixed-0."
CPUID,common/metadata_handlers/metadata_td.c,642,// CPUID leaf/subleaf that is not valid can't be read
CPUID,common/metadata_handlers/metadata_td.c,1163,"// To enable #VE reduction, all required data (e.g., CPUID(4) native values) should have been imported as part of the immutable state import."
CPUID,common/metadata_handlers/metadata_td.c,1221,// The checks below rely on TD execution controls being imported before CPUID.
CPUID,common/metadata_handlers/metadata_generic.c,190,// TD context CPUID VALUES field id have different format
CPUID,common/metadata_handlers/metadata_generic.c,247,// Inc size of CPUID field codes should be 0
CPUID,common/metadata_handlers/metadata_generic.c,273,"// we finished the cpuid lookup array, return -1 to indicate that"
CPUID,common/metadata_handlers/metadata_generic.c,277,// Get the leaf and subleaf of next entry in cpuid lookup
CPUID,common/metadata_handlers/metadata_generic.c,442,// Insert the leaf/subleaf of the first CPUID entry to the field id
CPUID,common/metadata_handlers/metadata_generic.c,831,// CPUID fields are never sequential
EPT,td_transitions/td_exit_stepping.h,44,#define STEPPING_EPF_THRESHOLD 6   // Threshold of confidence in detecting EPT fault-based stepping in progress
EPT,td_transitions/tdh_vp_enter.c,585,*    2.  Do an EPT walk to make sure the TDG.VP.VMCALL guest state output buffer in memory is accessible
EPT,td_transitions/tdh_vp_enter.c,586,"*       2.1.  If failed, emulate an EPT violation from L2"
EPT,td_transitions/tdh_vp_enter.c,610,// Address translation failed.  Emulate an EPT violation TD exit from L2
EPT,td_transitions/tdh_vp_enter.c,864,"If the stepping filter above indicated too many EPT violations on private GPA,"
EPT,td_transitions/tdh_vp_enter.c,865,emulate an EPT violation TD exit; do not do an actual VM entry so the VM is not
EPT,td_transitions/tdh_vp_enter.c,878,"TDX_ERROR(""Too many EPT violation on private GPA - 0x%llx\n"", faulting_gpa.raw);"
EPT,td_transitions/tdh_vp_enter.c,891,"TDX_ERROR(""EPT violation due GPA (0x%llx) translation\n"", faulting_gpa.raw);"
EPT,td_transitions/tdh_vp_enter.c,911,"// Therefore, when switching VCPU of the same TD on the same LP we should invalidate EPT."
EPT,td_transitions/tdg_vp_enter.c,146,"// Translation failed, do an EPT violation TD exit.  Mask off the GPA's lower 12 bits."
EPT,td_transitions/td_exit_stepping.c,368,// Acquire Secure-EPT lock as exclusive
EPT,td_transitions/td_exit_stepping.c,417,// track EPT violation faults
EPT,td_transitions/td_exit_stepping.c,424,// We reached the threshold; too many EPT violations for the same RIP
EPT,td_dispatcher/tdx_td_l2_dispatcher.c,175,// EPT violation is one case where NMI may have been unblocked by an IRET instruction
EPT,td_dispatcher/tdx_td_dispatcher.c,536,"// Sanity check: only cases in TDX are task switch, EPT violation and"
EPT,td_dispatcher/tdx_td_dispatcher.c,537,//   EPT misconfiguration
EPT,td_dispatcher/vm_exits/td_vmexit.h,37,* @brief Handler for EPT violation exit
EPT,td_dispatcher/vm_exits/td_vmexit.h,45,* @brief Handler for EPT misconfiguration exit
EPT,td_dispatcher/vm_exits/td_vmexit.h,114,"* @brief Sets output operands for EPT violation, and continues to async_td_exit_to_vmm routine"
EPT,td_dispatcher/vm_exits/td_vmexit.h,123,"* @brief Sets output operands for EPT misconfiguration, and continues to async_td_exit_to_vmm routine"
EPT,td_dispatcher/vm_exits/td_vmexit.h,152,"* @brief Do an asynchronous TD exit due to an EPT violation, with extended exit qualification"
EPT,td_dispatcher/vm_exits/tdg_mem_page_attr_wr.c,141,// Do a TD exit and indicate an EPT violation to the host VM
EPT,td_dispatcher/vm_exits/tdg_mem_page_attr_wr.c,289,// This is under host VMM control so do an EPT violation TD exit
EPT,td_dispatcher/vm_exits/tdg_vp_invvpid.c,137,// Translate the GPA; this may result in an EPT violation TD exit or a #VE
EPT,td_dispatcher/vm_exits/tdg_mem_page_accept.c,104,// (i.e. requested 2M entry is mapped to a EPT page instead of being a leaf)
EPT,td_dispatcher/vm_exits/tdg_mem_page_accept.c,110,// Secure EPT walk terminated with leaf entry == requested ACCEPT size.
EPT,td_dispatcher/vm_exits/tdg_mem_page_accept.c,118,// Secure EPT walk terminated with leaf entry == requested ACCEPT size.
EPT,td_dispatcher/vm_exits/tdg_mem_page_accept.c,231,// We're running in the guest TD context and the EPT walk was successful.
EPT,td_dispatcher/vm_exits/tdg_mem_page_accept.c,310,// Secure EPT entry can be modified by a concurrent host-side function. Attempt to write it to memory.
EPT,td_dispatcher/vm_exits/td_ept_violation.c,25,* @brief VM Exit handler for EPT violation VM exit
EPT,td_dispatcher/vm_exits/td_ept_violation.c,55,// EPT violation is the only case in TDX-SEAM where NMI may have been unblocked
EPT,td_dispatcher/vm_exits/td_ept_violation.c,106,// Check if the EPT violation happened due to an access to a PENDING page.
EPT,td_dispatcher/vm_exits/td_ept_violation.c,141,// attacks that repeatedly cause EPT violations with the same RIP.
EPT,td_dispatcher/vm_exits/tdg_mr_rtmr_extend.c,68,// on EPT violation/misconfiguration. Implicitly throws an error if GPA is not specified correctly.
EPT,td_dispatcher/vm_exits/td_other_exits.c,94,// Fatal error - EPT misconfiguration is not expected for private GPA
EPT,td_dispatcher/vm_exits/td_other_exits.c,228,"// When exit is due to EPT violation, bits 12-7 of the exit qualification are cleared to 0."
EPT,td_dispatcher/vm_exits/td_other_exits.c,236,"// When exit is due to EPT violation or EPT misconfiguration, format is similar to the"
EPT,td_dispatcher/vm_exits/td_other_exits.c,246,"// When exit is due to EPT violation or EPT misconfiguration, format is similar to the"
EPT,td_dispatcher/vm_exits_l2/td_l2_ept_violation.c,25,* @brief VM Exit handler for EPT violation VM exit
EPT,td_dispatcher/vm_exits_l2/td_l2_ept_violation.c,88,read by L1 (including if it's blocked-for-writing) then the EPT violation was due to L2
EPT,td_dispatcher/vm_exits_l2/td_l2_ept_violation.c,103,by L1 then the EPT violation was due to L2 permissions.  Let L1 handle this. */
EPT,td_dispatcher/vm_exits_l2/td_l2_ept_violation.c,111,"// The page is fully accessible to the TD (as a whole), L1 VMM should handle the EPT violation"
EPT,td_dispatcher/vm_exits_l2/td_l2_ept_violation.c,126,"// In each of the above cases, L1 VMM should handle the EPT violation"
EPT,td_dispatcher/vm_exits_l2/td_l2_ept_violation.c,131,* Log suspected 0-step attacks that repeatedly cause EPT violations with the same RIP. */
EPT,td_dispatcher/vm_exits_l2/td_l2_ept_violation.c,137,/* EPT violation is one case where NMI may have been unblocked by an IRET instruction
EPT,td_dispatcher/vm_exits_l2/td_l2_vmexit.h,63,* @brief Handler for EPT violations occurred in L2 TD
EPT,vmm_dispatcher/migration_api_calls/tdh_export_mem.c,508,// GPA and Secure-EPT
EPT,vmm_dispatcher/migration_api_calls/tdh_export_mem.c,787,// Walk the Secure-EPT to locate the parent entry for the new TD page
EPT,vmm_dispatcher/migration_api_calls/tdh_export_restore.c,60,// Secure-EPT
EPT,vmm_dispatcher/migration_api_calls/tdh_export_restore.c,97,// Acquire Secure-EPT lock as shared
EPT,vmm_dispatcher/migration_api_calls/tdh_export_restore.c,155,// Walk the Secure-EPT to locate the parent entry for the new TD page
EPT,vmm_dispatcher/migration_api_calls/tdh_export_restore.c,175,// Verify the Secure-EPT entry is *EXPORTED_*
EPT,vmm_dispatcher/migration_api_calls/tdh_export_restore.c,185,// Prepare the EPT entry value:
EPT,vmm_dispatcher/migration_api_calls/tdh_export_unblockw.c,56,// GPA and Secure-EPT
EPT,vmm_dispatcher/migration_api_calls/tdh_export_unblockw.c,125,// Walk the Secure EPT to locate the leaf entry of the page
EPT,vmm_dispatcher/migration_api_calls/tdh_export_unblockw.c,147,"TDX_ERROR(""Secure EPT lock and walk failed. Error code 0x%llx\n"", return_val);"
EPT,vmm_dispatcher/migration_api_calls/tdh_export_unblockw.c,155,"TDX_ERROR(""Secure EPT lock host size failed.\n"");"
EPT,vmm_dispatcher/migration_api_calls/tdh_export_unblockw.c,174,* Prepare the EPT entry value:
